id,name,value,datatype,parent
0,memoryId,MICRON_4Gb_DDR4-2400_8bit_A,string,-1
1,memoryType,DDR4,string,-1
2,memarchitecturespec,,string,-1
3,memtimingspec,,string,-1
4,mempowerspec,,string,-1
5,width,8,int,2
6,nbrOfBankGroups,4,int,2
7,nbrOfBanks,16,int,2
8,nbrOfRanks,1,int,2
9,nbrOfColumns,1024,int,2
10,nbrOfRows,32768,int,2
11,dataRate,2,int,2
12,burstLength,8,int,2
13,clkMhz,1200,double,3
14,REFI,4680,int,3
15,RFC,313,int,3
16,RL,16,int,3
17,WL,16,int,3
18,CL,16,int,3
19,AL,0,int,3
20,RP,16,int,3
21,RAS,39,int,3
22,RCD,16,int,3
23,RC,55,int,3
24,FAW,26,int,3
25,RTP,12,int,3
26,WR,18,int,3
27,RRD_S,4,int,3
28,RRD_L,6,int,3
29,CCD_S,4,int,3
30,CCD_L,4,int,3
31,WTR_S,3,int,3
32,WTR_L,9,int,3
33,DQSCK,2,int,3
34,XP,8,int,3
35,XPDLL,325,int,3
36,XS,324,int,3
37,XSDLL,512,int,3
38,CKE,6,int,3
39,CKESR,7,int,3
40,idd0,60.75,double,4
41,idd02,4.05,double,4
42,idd2p0,17.0,double,4
43,idd2p1,17.0,double,4
44,idd2n,38.25,double,4
45,idd3p0,22.5,double,4
46,idd3p1,22.5,double,4
47,idd3n,44.0,double,4
48,idd4r,184.5,double,4
49,idd4w,168.75,double,4
50,idd5,118.0,double,4
51,idd6,20.25,double,4
52,idd62,2.6,double,4
53,vdd,1.2,double,4
54,vdd2,2.5,double,4
