id,name,value,datatype,parent
0,memoryId,MICRON_1Gb_DDR3-1600_8bit_G_3s,string,-1
1,memoryType,DDR3,string,-1
2,memarchitecturespec,,string,-1
3,width,8,int,2
4,nbrOfBanks,8,int,2
10,nbrOfRanks,1,int,2
6,nbrOfColumns,1024,int,2
7,nbrOfRows,16384,int,2
8,dataRate,2,int,2
9,burstLength,8,int,2
5,memtimingspec,,string,-1
11,clkMhz,800,double,5
12,RC,38,uint,5
13,RCD,10,uint,5
14,RL,10,uint,5
15,RP,10,uint,5
16,RFC,88,uint,5
17,REFB,38,uint,5
18,RAS,28,uint,5
19,WL,8,uint,5
20,AL,0,uint,5
21,DQSCK,0,uint,5
22,RTP,6,uint,5
23,WR,12,uint,5
24,XP,6,uint,5
25,XPDLL,20,uint,5
26,XS,96,uint,5
27,XSDLL,512,uint,5
28,REFI,6240,uint,5
29,CL,10,uint,5
30,FAW,24,uint,5
31,RRD,5,uint,5
32,CCD,4,uint,5
33,WTR,6,uint,5
34,CKE,3,uint,5
35,CKESR,4,uint,5
36,mempowerspec,,string,-1
37,idd0,66.79,double,36
37,idd2p0,10.04,double,36
37,idd2p1,25.12,double,36
37,idd2n,41.67,double,36
37,idd3p0,32.44,double,36
37,idd3p1,32.44,double,36
37,idd3n,41.71,double,36
37,idd4w,135.11,double,36
37,idd4r,131.66,double,36
37,idd5,162.85,double,36
37,idd5B,25.08,double,36 
37,idd6,6.68,double,36
37,vdd,1.5,double,36
